Number,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
221,"[20, 40[",male,1,own,little,moderate,625,12,radio/TV,good
223,"[20, 40[",male,2,own,little,NA,707,12,radio/TV,good
224,"[20, 40[",male,2,own,NA,NA,2978,24,business,good
225,"[20, 40[",male,2,own,little,NA,4657,15,car,good
226,"[20, 40[",male,2,own,little,NA,2613,36,repairs,good
227,"[20, 40[",male,2,own,rich,moderate,10961,48,radio/TV,bad
229,"[20, 40[",male,2,own,little,NA,1478,9,radio/TV,bad
230,"[20, 40[",male,2,free,little,little,3149,24,furniture/equipment,good
231,"[20, 40[",male,2,own,little,rich,4210,36,radio/TV,bad
233,"[20, 40[",male,2,own,moderate,NA,2141,12,radio/TV,good
234,"[20, 40[",male,1,own,little,moderate,866,18,radio/TV,good
236,"[20, 40[",male,3,own,little,little,1823,24,radio/TV,bad
237,"[20, 40[",male,0,own,NA,moderate,14555,6,car,bad
240,"[20, 40[",male,2,own,little,little,2522,30,radio/TV,good
243,"[20, 40[",male,2,free,little,little,4605,48,car,bad
246,"[20, 40[",male,2,own,little,NA,1258,24,business,good
248,"[20, 40[",male,2,rent,moderate,NA,1204,6,car,good
249,"[20, 40[",male,2,own,little,rich,1925,24,furniture/equipment,good
254,"[20, 40[",male,2,own,moderate,NA,4151,24,furniture/equipment,good
255,"[20, 40[",male,2,own,NA,moderate,2030,9,furniture/equipment,good
256,"[20, 40[",male,1,own,NA,moderate,7418,60,radio/TV,good
257,"[20, 40[",male,1,own,little,NA,2684,24,radio/TV,good
258,"[20, 40[",male,2,free,little,little,2149,12,radio/TV,bad
261,"[20, 40[",male,2,own,little,little,1657,12,furniture/equipment,good
263,"[20, 40[",male,3,free,little,little,5302,18,car,good
265,"[20, 40[",male,1,own,little,NA,1231,10,car,good
266,"[20, 40[",male,2,own,little,moderate,802,15,radio/TV,bad
267,"[20, 40[",male,2,own,NA,NA,6304,36,business,good
270,"[20, 40[",male,2,own,NA,NA,999,24,radio/TV,good
271,"[20, 40[",male,2,own,NA,NA,2662,18,car,good
273,"[20, 40[",male,3,free,NA,moderate,12169,48,car,good
274,"[20, 40[",male,2,own,little,moderate,3060,48,radio/TV,bad
275,"[20, 40[",male,1,own,little,little,11998,30,repairs,bad
276,"[20, 40[",male,2,own,little,NA,2697,9,radio/TV,good
280,"[20, 40[",male,3,rent,moderate,NA,1901,24,radio/TV,good
281,"[20, 40[",male,2,rent,rich,NA,3368,15,car,good
285,"[20, 40[",male,2,own,moderate,moderate,3878,24,car,good
287,"[20, 40[",male,2,own,little,little,4788,48,car,good
288,"[20, 40[",male,3,free,moderate,moderate,7582,48,vacation/others,good
291,"[20, 40[",male,2,own,little,NA,1076,12,business,good
292,"[20, 40[",male,3,rent,little,moderate,9398,36,car,bad
300,"[20, 40[",male,2,own,rich,moderate,2745,21,furniture/equipment,good
303,"[20, 40[",male,1,own,NA,rich,1344,24,car,bad
306,"[20, 40[",male,2,own,rich,NA,1543,6,furniture/equipment,good
308,"[20, 40[",male,1,own,moderate,little,727,12,radio/TV,bad
310,"[20, 40[",male,1,rent,little,moderate,276,9,car,good
312,"[20, 40[",male,2,own,moderate,NA,5511,24,furniture/equipment,good
314,"[20, 40[",male,1,own,little,moderate,685,12,car,bad
315,"[20, 40[",male,1,own,NA,rich,1494,4,car,good
316,"[20, 40[",male,2,own,little,little,2746,36,furniture/equipment,bad
317,"[20, 40[",male,1,own,little,little,708,12,furniture/equipment,good
319,"[20, 40[",male,2,own,little,NA,701,12,education,good
321,"[20, 40[",male,3,own,little,moderate,4249,30,car,bad
322,"[20, 40[",male,2,own,little,little,1938,24,radio/TV,bad
323,"[20, 40[",male,3,free,little,little,2910,24,car,good
324,"[20, 40[",male,2,own,rich,little,2659,18,furniture/equipment,good
326,"[20, 40[",male,1,own,little,little,3398,8,car,good
329,"[20, 40[",male,2,own,little,rich,4473,36,radio/TV,good
330,"[20, 40[",male,2,own,little,moderate,1068,6,radio/TV,good
335,"[20, 40[",male,2,rent,little,little,4110,24,furniture/equipment,bad
339,"[20, 40[",male,2,own,little,little,4169,24,furniture/equipment,good
340,"[20, 40[",male,1,own,little,moderate,1521,10,furniture/equipment,good
343,"[20, 40[",male,2,rent,quite rich,moderate,3213,18,radio/TV,good
344,"[20, 40[",male,3,own,little,moderate,4439,18,business,good
345,"[20, 40[",male,1,own,little,rich,3949,10,car,good
347,"[20, 40[",male,2,own,little,moderate,882,13,radio/TV,good
349,"[20, 40[",male,1,own,moderate,NA,1743,6,business,good
350,"[20, 40[",male,2,free,rich,moderate,1136,9,education,bad
353,"[20, 40[",male,3,own,NA,NA,3229,18,car,good
354,"[20, 40[",male,2,rent,little,little,6199,12,radio/TV,bad
356,"[20, 40[",male,1,own,little,moderate,1246,24,car,bad
358,"[20, 40[",male,3,own,little,NA,4463,36,radio/TV,bad
359,"[20, 40[",male,2,own,little,NA,776,12,radio/TV,good
362,"[20, 40[",male,3,own,NA,rich,3399,12,radio/TV,good
364,"[20, 40[",male,2,rent,little,NA,1766,6,furniture/equipment,good
365,"[20, 40[",male,0,own,little,little,2473,18,furniture/equipment,bad
366,"[20, 40[",male,2,own,little,NA,1542,12,business,good
367,"[20, 40[",male,2,own,little,NA,3850,18,car,good
371,"[20, 40[",male,2,own,NA,NA,3079,36,car,good
372,"[20, 40[",male,2,own,little,NA,6070,18,radio/TV,good
377,"[20, 40[",male,2,own,little,NA,2320,18,radio/TV,good
378,"[20, 40[",male,2,free,NA,NA,846,7,radio/TV,good
381,"[20, 40[",male,2,own,NA,little,2212,20,furniture/equipment,good
384,"[20, 40[",male,2,own,little,rich,1330,12,car,good
385,"[20, 40[",male,1,own,moderate,NA,4272,30,business,good
389,"[20, 40[",male,2,own,quite rich,moderate,2326,15,business,good
391,"[20, 40[",male,3,own,little,NA,1820,18,car,good
393,"[20, 40[",male,3,free,little,little,3249,36,car,good
395,"[20, 40[",male,3,own,little,NA,2406,9,furniture/equipment,good
396,"[20, 40[",male,2,rent,moderate,moderate,11760,39,education,good
401,"[20, 40[",male,2,own,little,NA,1473,18,radio/TV,good
402,"[20, 40[",male,2,own,NA,moderate,1887,18,business,good
403,"[20, 40[",male,2,own,little,NA,8648,24,business,bad
404,"[20, 40[",male,1,own,little,NA,802,14,car,good
406,"[20, 40[",male,2,own,little,moderate,2039,24,radio/TV,bad
408,"[20, 40[",male,2,own,little,little,1053,15,radio/TV,good
409,"[20, 40[",male,3,own,quite rich,NA,3235,24,radio/TV,good
410,"[20, 40[",male,2,own,quite rich,rich,939,12,car,bad
412,"[20, 40[",male,3,own,little,NA,7253,33,car,good
416,"[20, 40[",male,2,own,little,NA,5842,36,car,good
417,"[20, 40[",male,1,own,little,little,2579,12,car,bad
422,"[20, 40[",male,2,own,NA,moderate,2028,12,car,good
424,"[20, 40[",male,3,own,moderate,NA,1591,21,furniture/equipment,good
426,"[20, 40[",male,2,rent,little,moderate,2779,18,car,good
427,"[20, 40[",male,2,own,little,NA,2743,28,radio/TV,good
429,"[20, 40[",male,2,own,little,NA,1313,9,furniture/equipment,good
432,"[20, 40[",male,3,own,little,moderate,11328,24,vacation/others,bad
433,"[20, 40[",male,3,free,little,little,1872,6,furniture/equipment,good
434,"[20, 40[",male,2,own,little,NA,2058,24,repairs,good
435,"[20, 40[",male,2,own,little,little,2136,9,furniture/equipment,good
436,"[20, 40[",male,2,own,NA,moderate,1484,12,radio/TV,bad
437,"[20, 40[",male,1,rent,quite rich,NA,660,6,repairs,good
441,"[20, 40[",male,3,own,little,NA,1884,12,car,good
443,"[20, 40[",male,2,own,little,moderate,2629,20,vacation/others,good
448,"[20, 40[",male,2,own,little,moderate,2576,7,radio/TV,good
451,"[20, 40[",male,3,own,NA,NA,11054,36,car,good
453,"[20, 40[",male,2,own,little,NA,2759,12,furniture/equipment,good
454,"[20, 40[",male,3,own,little,NA,2670,24,car,good
455,"[20, 40[",male,2,own,little,little,4817,24,car,bad
457,"[20, 40[",male,2,rent,little,little,3905,11,car,good
458,"[20, 40[",male,2,free,little,little,3386,12,car,bad
460,"[20, 40[",male,2,own,little,NA,4594,18,radio/TV,good
461,"[20, 40[",male,2,own,little,little,3620,36,furniture/equipment,good
462,"[20, 40[",male,2,own,little,little,1721,15,car,good
464,"[20, 40[",male,2,own,NA,moderate,754,12,education,good
465,"[20, 40[",male,2,own,little,NA,1950,18,business,good
468,"[20, 40[",male,2,own,NA,NA,7238,48,radio/TV,good
470,"[20, 40[",male,1,own,little,NA,4679,24,car,good
471,"[20, 40[",male,2,rent,moderate,moderate,3092,24,radio/TV,bad
473,"[20, 40[",male,1,own,little,little,654,9,car,bad
474,"[20, 40[",male,3,own,NA,NA,1238,6,education,good
475,"[20, 40[",male,2,own,little,moderate,1245,18,radio/TV,bad
477,"[20, 40[",male,2,own,quite rich,NA,2569,39,car,good
478,"[20, 40[",male,2,own,little,rich,5152,24,radio/TV,good
479,"[20, 40[",male,1,own,moderate,moderate,1037,12,business,good
482,"[20, 40[",male,2,own,little,moderate,1201,24,car,good
489,"[20, 40[",male,1,rent,moderate,NA,1418,10,car,good
490,"[20, 40[",male,2,rent,little,NA,3518,6,car,good
491,"[20, 40[",male,2,own,little,NA,1934,12,radio/TV,good
494,"[20, 40[",male,2,own,NA,moderate,368,6,radio/TV,good
495,"[20, 40[",male,1,rent,little,little,2122,12,car,good
496,"[20, 40[",male,2,own,NA,little,2996,24,furniture/equipment,bad
497,"[20, 40[",male,3,rent,moderate,moderate,9034,36,furniture/equipment,bad
499,"[20, 40[",male,1,own,little,moderate,1301,18,radio/TV,good
500,"[20, 40[",male,2,own,moderate,rich,1323,6,car,good
504,"[20, 40[",male,2,own,moderate,moderate,1216,24,radio/TV,bad
506,"[20, 40[",male,1,own,NA,NA,1309,10,car,bad
507,"[20, 40[",male,2,own,quite rich,rich,2360,15,car,good
508,"[20, 40[",male,3,own,moderate,moderate,6850,15,car,bad
509,"[20, 40[",male,2,own,little,NA,1413,24,radio/TV,good
511,"[20, 40[",male,2,own,little,little,759,12,car,bad
512,"[20, 40[",male,3,free,little,NA,4686,36,car,good
513,"[20, 40[",male,2,rent,little,rich,2687,15,business,good
514,"[20, 40[",male,2,rent,little,moderate,585,12,radio/TV,good
520,"[20, 40[",male,2,free,NA,NA,700,6,radio/TV,good
526,"[20, 40[",male,2,own,little,moderate,7966,26,car,good
529,"[20, 40[",male,2,rent,little,little,2302,36,radio/TV,bad
531,"[20, 40[",male,2,own,little,moderate,2273,36,education,good
534,"[20, 40[",male,2,own,moderate,NA,1311,24,radio/TV,good
535,"[20, 40[",male,2,own,NA,NA,3105,24,radio/TV,good
536,"[20, 40[",male,2,rent,little,rich,2319,21,education,bad
541,"[20, 40[",male,2,rent,little,moderate,1534,12,radio/TV,bad
543,"[20, 40[",male,2,own,NA,little,6350,30,furniture/equipment,bad
544,"[20, 40[",male,1,own,little,rich,2864,18,furniture/equipment,bad
548,"[20, 40[",male,2,own,little,NA,1552,24,radio/TV,good
550,"[20, 40[",male,2,free,NA,NA,8858,48,car,good
553,"[20, 40[",male,2,own,little,little,6999,48,radio/TV,bad
554,"[20, 40[",male,2,own,moderate,moderate,1995,12,car,good
556,"[20, 40[",male,2,own,little,moderate,1331,12,radio/TV,bad
559,"[20, 40[",male,2,own,little,little,3552,24,furniture/equipment,bad
560,"[20, 40[",male,1,own,little,moderate,1928,18,furniture/equipment,bad
562,"[20, 40[",male,1,rent,little,little,1546,24,radio/TV,bad
564,"[20, 40[",male,2,free,NA,moderate,12389,36,car,bad
565,"[20, 40[",male,3,own,NA,moderate,4712,24,business,good
567,"[20, 40[",male,2,own,little,little,1372,12,car,bad
568,"[20, 40[",male,2,own,rich,NA,2578,24,radio/TV,good
572,"[20, 40[",male,2,own,little,NA,5954,30,radio/TV,good
575,"[20, 40[",male,1,own,little,moderate,1082,9,radio/TV,good
579,"[20, 40[",male,2,own,little,moderate,2820,36,car,bad
580,"[20, 40[",male,1,own,little,NA,937,24,education,good
581,"[20, 40[",male,2,own,little,moderate,1056,18,car,bad
584,"[20, 40[",male,1,rent,little,moderate,2384,36,repairs,bad
587,"[20, 40[",male,2,rent,little,little,2799,9,car,good
588,"[20, 40[",male,1,own,little,little,1289,12,furniture/equipment,good
598,"[20, 40[",male,1,own,little,moderate,4241,24,business,bad
599,"[20, 40[",male,2,own,little,NA,2775,18,car,bad
600,"[20, 40[",male,2,free,little,NA,3863,24,business,good
606,"[20, 40[",male,2,own,quite rich,little,2828,24,furniture/equipment,good
609,"[20, 40[",male,2,own,little,NA,2051,18,radio/TV,good
617,"[20, 40[",male,3,free,NA,moderate,9157,60,radio/TV,good
618,"[20, 40[",male,2,rent,little,little,3676,6,car,good
621,"[20, 40[",male,2,own,little,moderate,3652,21,business,good
622,"[20, 40[",male,2,own,little,NA,1530,18,car,bad
623,"[20, 40[",male,2,own,NA,NA,3914,48,business,bad
626,"[20, 40[",male,2,own,NA,NA,1979,15,radio/TV,good
628,"[20, 40[",male,2,own,moderate,moderate,1437,9,car,bad
629,"[20, 40[",male,2,own,quite rich,NA,4042,42,furniture/equipment,good
633,"[20, 40[",male,2,own,NA,moderate,1444,15,radio/TV,good
638,"[20, 40[",male,2,own,little,NA,15653,60,radio/TV,good
640,"[20, 40[",male,2,own,little,little,4370,42,radio/TV,bad
642,"[20, 40[",male,1,own,little,moderate,1308,15,repairs,good
644,"[20, 40[",male,2,own,little,NA,1851,24,radio/TV,good
645,"[20, 40[",male,3,own,little,little,1880,18,radio/TV,good
646,"[20, 40[",male,2,rent,NA,NA,7980,36,business,bad
647,"[20, 40[",male,2,own,little,little,4583,30,furniture/equipment,good
649,"[20, 40[",male,2,free,little,rich,947,24,car,bad
652,"[20, 40[",male,1,own,little,moderate,1922,12,furniture/equipment,bad
655,"[20, 40[",male,2,own,little,NA,2346,24,car,good
656,"[20, 40[",male,2,free,little,little,3973,14,car,good
658,"[20, 40[",male,2,own,NA,NA,10222,48,radio/TV,good
661,"[20, 40[",male,2,rent,little,rich,1297,12,radio/TV,good
662,"[20, 40[",male,2,own,NA,little,900,12,car,bad
664,"[20, 40[",male,3,own,little,moderate,1050,6,furniture/equipment,good
666,"[20, 40[",male,3,own,little,NA,6314,24,vacation/others,good
667,"[20, 40[",male,2,own,rich,moderate,3496,30,furniture/equipment,good
671,"[20, 40[",male,1,own,moderate,NA,4139,24,business,good
672,"[20, 40[",male,2,own,moderate,NA,5742,36,business,good
674,"[20, 40[",male,2,own,quite rich,NA,2080,6,car,good
677,"[20, 40[",male,2,own,little,NA,5150,24,furniture/equipment,good
678,"[20, 40[",male,2,own,moderate,moderate,5595,72,radio/TV,bad
682,"[20, 40[",male,2,free,NA,NA,2279,12,radio/TV,good
683,"[20, 40[",male,2,own,little,NA,1478,15,radio/TV,good
685,"[20, 40[",male,1,own,moderate,moderate,9857,36,business,good
686,"[20, 40[",male,2,free,NA,NA,6527,60,car,good
687,"[20, 40[",male,2,own,NA,rich,1347,10,radio/TV,good
688,"[20, 40[",male,2,free,moderate,moderate,2862,36,car,good
689,"[20, 40[",male,2,own,moderate,NA,2753,9,radio/TV,good
690,"[20, 40[",male,2,own,rich,little,3651,12,car,good
691,"[20, 40[",male,2,own,little,little,975,15,furniture/equipment,good
693,"[20, 40[",male,2,own,moderate,moderate,2896,24,radio/TV,good
695,"[20, 40[",male,2,own,little,NA,2284,24,radio/TV,good
697,"[20, 40[",male,2,own,little,moderate,1103,12,radio/TV,good
699,"[20, 40[",male,2,own,little,NA,1800,18,radio/TV,good
707,"[20, 40[",male,2,own,moderate,moderate,6560,48,car,bad
710,"[20, 40[",male,1,own,little,moderate,2118,9,radio/TV,good
711,"[20, 40[",male,3,own,quite rich,NA,629,18,radio/TV,good
714,"[20, 40[",male,1,own,little,little,1138,9,radio/TV,good
715,"[20, 40[",male,3,own,little,moderate,14027,60,car,bad
718,"[20, 40[",male,3,free,little,NA,1505,18,radio/TV,good
719,"[20, 40[",male,2,own,NA,rich,3148,24,radio/TV,good
720,"[20, 40[",male,2,own,moderate,moderate,6148,20,car,good
721,"[20, 40[",male,3,own,little,rich,1337,9,radio/TV,bad
730,"[20, 40[",male,2,own,rich,rich,1275,24,business,good
731,"[20, 40[",male,2,own,little,moderate,6403,24,radio/TV,good
732,"[20, 40[",male,1,rent,little,little,1987,24,radio/TV,bad
738,"[20, 40[",male,1,own,moderate,little,4380,18,car,good
741,"[20, 40[",male,2,own,moderate,little,2325,24,car,good
742,"[20, 40[",male,1,own,little,moderate,1048,10,radio/TV,good
744,"[20, 40[",male,2,own,quite rich,little,2483,24,furniture/equipment,good
745,"[20, 40[",male,3,own,NA,little,14179,39,furniture/equipment,good
746,"[20, 40[",male,1,own,little,little,1797,13,business,good
749,"[20, 40[",male,2,own,NA,NA,5248,21,car,good
750,"[20, 40[",male,2,own,little,NA,3029,15,car,good
758,"[20, 40[",male,2,free,NA,rich,1271,15,radio/TV,bad
759,"[20, 40[",male,2,own,little,NA,1393,24,car,good
760,"[20, 40[",male,2,own,little,little,691,12,car,bad
763,"[20, 40[",male,1,own,little,little,2214,12,radio/TV,good
764,"[20, 40[",male,3,free,NA,NA,12680,21,car,bad
765,"[20, 40[",male,2,own,moderate,NA,2463,24,car,good
767,"[20, 40[",male,1,own,little,little,3108,30,furniture/equipment,bad
769,"[20, 40[",male,2,rent,little,moderate,3617,12,furniture/equipment,good
773,"[20, 40[",male,3,own,little,NA,3275,21,car,good
777,"[20, 40[",male,2,own,little,NA,3535,36,car,good
779,"[20, 40[",male,3,own,rich,NA,5711,36,car,good
781,"[20, 40[",male,2,own,little,moderate,4933,39,radio/TV,bad
783,"[20, 40[",male,1,own,little,moderate,1410,12,education,good
786,"[20, 40[",male,1,own,rich,moderate,1941,18,business,good
788,"[20, 40[",male,2,own,NA,NA,2751,48,car,good
790,"[20, 40[",male,2,own,little,little,5998,40,education,bad
793,"[20, 40[",male,2,own,NA,NA,1221,6,furniture/equipment,good
795,"[20, 40[",male,2,rent,quite rich,NA,3062,24,furniture/equipment,good
800,"[20, 40[",male,0,own,NA,moderate,1549,9,car,good
804,"[20, 40[",male,2,own,NA,NA,976,12,radio/TV,good
806,"[20, 40[",male,2,own,little,little,9271,36,car,bad
807,"[20, 40[",male,1,own,little,moderate,590,6,radio/TV,good
811,"[20, 40[",male,2,own,little,moderate,907,8,business,good
812,"[20, 40[",male,1,own,little,moderate,484,6,radio/TV,good
813,"[20, 40[",male,2,own,little,little,9629,36,car,bad
820,"[20, 40[",male,2,own,little,little,1345,18,radio/TV,bad
821,"[20, 40[",male,2,own,little,NA,1101,12,car,good
822,"[20, 40[",male,2,own,little,rich,3016,12,radio/TV,good
825,"[20, 40[",male,3,own,little,NA,3780,18,furniture/equipment,good
826,"[20, 40[",male,2,own,little,little,1602,21,car,good
828,"[20, 40[",male,2,own,little,NA,4165,18,business,bad
830,"[20, 40[",male,2,free,NA,moderate,6681,48,business,good
833,"[20, 40[",male,2,rent,little,little,11816,45,business,bad
841,"[20, 40[",male,2,own,little,little,5179,36,furniture/equipment,bad
842,"[20, 40[",male,1,own,little,NA,2993,21,car,good
846,"[20, 40[",male,2,own,NA,moderate,3976,21,furniture/equipment,good
848,"[20, 40[",male,2,own,little,NA,1249,24,car,good
851,"[20, 40[",male,2,rent,little,little,2235,20,car,bad
853,"[20, 40[",male,2,free,little,NA,1471,15,radio/TV,good
854,"[20, 40[",male,1,free,little,little,1442,18,car,bad
856,"[20, 40[",male,2,own,moderate,NA,1474,24,car,good
858,"[20, 40[",male,2,free,little,NA,3343,15,furniture/equipment,good
860,"[20, 40[",male,2,rent,moderate,NA,3577,9,car,good
861,"[20, 40[",male,2,own,rich,NA,5804,24,car,good
862,"[20, 40[",male,2,own,little,NA,2169,18,business,bad
864,"[20, 40[",male,1,own,rich,NA,4526,27,furniture/equipment,good
865,"[20, 40[",male,1,rent,little,NA,2210,10,furniture/equipment,bad
869,"[20, 40[",male,2,own,NA,NA,7409,36,business,good
873,"[20, 40[",male,2,own,moderate,little,1382,24,business,good
875,"[20, 40[",male,1,own,little,little,3590,12,furniture/equipment,good
877,"[20, 40[",male,3,free,little,little,1940,18,radio/TV,good
878,"[20, 40[",male,2,own,little,NA,3595,36,radio/TV,good
879,"[20, 40[",male,3,free,little,little,1422,9,car,bad
880,"[20, 40[",male,2,own,NA,NA,6742,30,radio/TV,good
881,"[20, 40[",male,3,own,little,NA,7814,24,car,good
883,"[20, 40[",male,2,own,NA,moderate,2181,30,car,good
887,"[20, 40[",male,2,own,NA,moderate,2825,24,business,good
888,"[20, 40[",male,2,own,little,moderate,15672,48,business,bad
889,"[20, 40[",male,3,own,little,NA,6614,36,car,good
893,"[20, 40[",male,1,own,little,little,2171,12,car,good
894,"[20, 40[",male,2,own,little,moderate,5800,36,car,good
895,"[20, 40[",male,2,own,NA,NA,1169,18,radio/TV,good
896,"[20, 40[",male,3,own,NA,NA,8947,36,car,good
905,"[20, 40[",male,3,own,little,NA,1278,24,radio/TV,good
906,"[20, 40[",male,3,rent,little,little,1107,12,radio/TV,good
907,"[20, 40[",male,1,own,NA,little,3763,21,car,good
908,"[20, 40[",male,2,own,NA,moderate,3711,36,education,good
914,"[20, 40[",male,2,own,rich,NA,2142,11,business,good
915,"[20, 40[",male,2,rent,little,little,3161,24,business,bad
917,"[20, 40[",male,2,own,moderate,NA,2848,10,car,good
919,"[20, 40[",male,2,own,moderate,little,2359,24,furniture/equipment,bad
920,"[20, 40[",male,3,rent,little,little,3345,24,furniture/equipment,bad
922,"[20, 40[",male,3,own,quite rich,NA,12749,48,radio/TV,good
924,"[20, 40[",male,2,rent,little,moderate,2002,12,car,good
928,"[20, 40[",male,2,free,little,little,10297,48,car,bad
931,"[20, 40[",male,1,own,little,little,1747,24,furniture/equipment,good
933,"[20, 40[",male,2,own,little,NA,1224,9,car,good
936,"[20, 40[",male,3,own,moderate,moderate,1919,30,radio/TV,bad
938,"[20, 40[",male,3,rent,little,moderate,2063,6,radio/TV,good
942,"[20, 40[",male,1,own,little,NA,1546,10,car,good
943,"[20, 40[",male,2,own,NA,NA,929,24,furniture/equipment,good
947,"[20, 40[",male,2,free,quite rich,little,3349,24,furniture/equipment,bad
948,"[20, 40[",male,3,own,NA,NA,2859,12,car,good
950,"[20, 40[",male,2,own,moderate,NA,3621,24,radio/TV,bad
952,"[20, 40[",male,2,own,little,little,2145,36,business,bad
958,"[20, 40[",male,1,own,little,moderate,1154,9,radio/TV,good
960,"[20, 40[",male,2,free,moderate,moderate,3069,24,furniture/equipment,good
961,"[20, 40[",male,2,rent,little,NA,1740,6,radio/TV,good
963,"[20, 40[",male,2,own,NA,NA,3556,15,car,good
964,"[20, 40[",male,2,own,quite rich,NA,2397,24,radio/TV,bad
965,"[20, 40[",male,1,own,little,moderate,454,6,repairs,good
967,"[20, 40[",male,1,own,quite rich,moderate,2520,27,radio/TV,bad
969,"[20, 40[",male,2,rent,NA,NA,7166,42,radio/TV,good
971,"[20, 40[",male,2,own,moderate,moderate,1514,15,repairs,good
974,"[20, 40[",male,2,rent,little,little,7297,60,business,bad
980,"[20, 40[",male,2,rent,moderate,moderate,1264,15,car,bad
982,"[20, 40[",male,3,rent,little,NA,4844,48,business,bad
984,"[20, 40[",male,2,own,little,little,8229,36,car,bad
985,"[20, 40[",male,1,own,little,NA,2028,24,furniture/equipment,good
987,"[20, 40[",male,2,own,little,rich,6289,42,business,good
989,"[20, 40[",male,3,free,little,little,6579,24,car,good
991,"[20, 40[",male,1,own,NA,NA,3565,12,education,good
992,"[20, 40[",male,1,own,moderate,NA,1569,15,radio/TV,good
993,"[20, 40[",male,1,rent,NA,little,1936,18,radio/TV,good
994,"[20, 40[",male,3,own,little,little,3959,36,furniture/equipment,good
998,"[20, 40[",male,2,own,little,NA,804,12,radio/TV,good
999,"[20, 40[",male,2,free,little,little,1845,45,radio/TV,bad
1000,"[20, 40[",male,2,own,moderate,moderate,4576,45,car,good
3,"[40, 60[",male,1,own,little,NA,2096,12,education,good
4,"[40, 60[",male,2,free,little,little,7882,42,furniture/equipment,good
5,"[40, 60[",male,2,free,little,little,4870,24,car,bad
7,"[40, 60[",male,2,own,quite rich,NA,2835,24,furniture/equipment,good
17,"[40, 60[",male,2,own,NA,NA,2424,24,radio/TV,good
21,"[40, 60[",male,2,own,little,NA,2134,9,car,good
22,"[40, 60[",male,2,rent,quite rich,little,2647,6,radio/TV,good
23,"[40, 60[",male,1,rent,little,little,2241,10,car,good
24,"[40, 60[",male,2,own,moderate,moderate,1804,12,car,good
34,"[40, 60[",male,1,rent,NA,NA,1264,12,business,good
43,"[40, 60[",male,1,own,little,moderate,6204,18,repairs,good
55,"[40, 60[",male,2,free,little,moderate,2225,36,car,bad
57,"[40, 60[",male,3,own,NA,moderate,6468,12,radio/TV,bad
62,"[40, 60[",male,2,own,NA,moderate,1537,15,radio/TV,good
66,"[40, 60[",male,2,own,NA,NA,5190,27,repairs,good
72,"[40, 60[",male,1,rent,NA,NA,730,7,radio/TV,good
73,"[40, 60[",male,3,free,little,little,1164,8,vacation/others,good
75,"[40, 60[",male,3,own,NA,little,1977,36,education,bad
78,"[40, 60[",male,2,own,little,moderate,4771,11,radio/TV,good
82,"[40, 60[",male,2,own,quite rich,NA,1213,15,radio/TV,good
85,"[40, 60[",male,1,own,little,little,2315,10,radio/TV,good
88,"[40, 60[",male,2,free,moderate,moderate,12612,36,education,bad
91,"[40, 60[",male,2,own,little,NA,618,12,radio/TV,good
92,"[40, 60[",male,2,own,little,little,1409,12,car,good
95,"[40, 60[",male,2,own,rich,moderate,1318,12,car,good
96,"[40, 60[",male,2,rent,little,moderate,15945,54,business,bad
101,"[40, 60[",male,1,rent,moderate,NA,1469,24,car,good
116,"[40, 60[",male,2,own,NA,NA,3578,48,radio/TV,good
127,"[40, 60[",male,1,own,little,little,701,12,radio/TV,good
134,"[40, 60[",male,2,free,little,NA,1984,18,furniture/equipment,good
150,"[40, 60[",male,2,own,rich,NA,1582,18,radio/TV,good
151,"[40, 60[",male,2,free,moderate,NA,1346,6,radio/TV,good
157,"[40, 60[",male,2,own,moderate,little,1288,9,repairs,good
158,"[40, 60[",male,1,own,little,little,339,12,education,good
177,"[40, 60[",male,2,own,little,little,2577,12,furniture/equipment,good
178,"[40, 60[",male,2,own,quite rich,little,338,6,radio/TV,good
183,"[40, 60[",male,1,own,NA,little,1647,21,car,bad
184,"[40, 60[",male,2,own,rich,NA,3777,24,furniture/equipment,good
191,"[40, 60[",male,3,own,rich,NA,4591,24,business,bad
200,"[40, 60[",male,3,own,little,moderate,4297,18,furniture/equipment,bad
201,"[40, 60[",male,2,own,quite rich,NA,936,9,education,good
207,"[40, 60[",male,2,own,little,NA,1935,12,furniture/equipment,good
210,"[40, 60[",male,2,own,rich,NA,1413,12,car,good
213,"[40, 60[",male,2,own,little,little,5293,27,business,bad
215,"[40, 60[",male,2,own,NA,NA,3342,36,radio/TV,good
228,"[40, 60[",male,3,free,little,little,7865,12,furniture/equipment,bad
232,"[40, 60[",male,1,free,quite rich,NA,2507,9,car,good
235,"[40, 60[",male,1,own,little,NA,1544,4,radio/TV,good
242,"[40, 60[",male,2,own,little,NA,1595,6,radio/TV,good
247,"[40, 60[",male,2,own,little,NA,717,12,radio/TV,good
269,"[40, 60[",male,3,own,little,little,8978,14,car,bad
278,"[40, 60[",male,1,own,NA,little,1262,12,furniture/equipment,good
282,"[40, 60[",male,2,own,little,NA,1574,12,furniture/equipment,good
283,"[40, 60[",male,1,own,NA,rich,1445,18,radio/TV,good
290,"[40, 60[",male,2,own,little,little,1024,24,radio/TV,bad
294,"[40, 60[",male,2,free,little,rich,4796,42,car,good
295,"[40, 60[",male,3,own,NA,NA,7629,48,business,good
